Texas7k BusNum,Texas7k GenID,Texas7k SubNum,Texas7k Max MW,Texas7k Min MW,EIA-860 Plant Code,EIA-860 Plant Name,EIA-860 Operating Year,EIA-860 Nameplate Capacity (MW),NREL Wind Site,Mapping Status,Distribution Factor,NREL Capacity Proportion
190193,1,3131,253.0,34.1,60902,Dermott Wind,2017,253,Amazon Wind Farm Texas,1,1.0,330.0
120493,1,1261,99.8,20.75,58000,Anacacho Wind Farm  LLC,2012,99.8,Anacacho Wind Farm,1,1.0,129.0
160281,1,2424,188.0,46.66,57927,Baffin Wind,2014,188,Baffin,1,1.0,264.0
150496,1,2197,120.0,45.51,57156,Barton Chapel Wind Farm,2009,120,Barton Chapel Wind Farm,1,1.0,157.0
220216,1,3727,196.7,65.47,59972,Bearkat,2018,196.7,Bearkat I,1,1.0,257.0
220136,1,3701,34.3,6.36,54979,Big Spring Wind Power Facility,1998,34.3,Big Spring Wind Farm,1,1.0,45.0
190203,1,3135,99.4,42.92,61970,Blue Summit II Wind  LLC,2019,99.4,Blue Summit,1,0.2285057471264368,40.44551724137931
190206,1,3136,200.2,62.86,62566,Blue Summit III Wind,2019,200.2,Blue Summit,1,0.46022988505747126,81.46068965517242
150510,1,2202,135.4,33.61,58372,Blue Summit Wind LLC,2012,135.4,Blue Summit,1,0.31126436781609196,55.09379310344828
150502,1,2199,161.0,26.89,57974,Bobcat Bluff Wind Project LLC,2012,161,Bobcat Bluff,1,1.0,196.0
190106,1,3098,160.0,47.66,56111,Brazos Wind Farm,2003,160,Brazos Wind Ranch,1,1.0,289.0
190169,1,3123,150.0,65.16,59734,Briscoe Wind Farm,2015,150,Briscoe,1,1.0,196.0
200189,1,3295,228.0,49.75,59066,Bruennings Breeze Wind Farm,2017,228,Bruenning's Breeze,1,1.0,298.0
150534,1,2210,100.5,18.94,60983,Buckthorn Wind Project,2017,100.5,Buckthorn,1,1.0,117.0
240217,1,4187,120.6,30.69,56240,Buffalo Gap Wind Farm,2006,120.6,Buffalo Gap Wind Farm,1,0.23046053888782725,157.40454806038602
240239,1,4195,232.5,98.23,56484,Buffalo Gap 2 Wind Farm,2007,232.5,Buffalo Gap Wind Farm,1,0.444295815020065,303.4540416587044
240248,1,4199,170.2,21.59,56638,Buffalo Gap 3 Wind Farm,2008,170.2,Buffalo Gap Wind Farm,1,0.32524364609210776,222.1414102809096
190120,1,3104,180.0,60.3,56956,Bull Creek Wind,2008,180,Bull Creek Wind Farm,1,1.0,235.0
240307,1,4218,150.0,24.19,61001,Cactus Flats Wind Energy Project,2018,148.4,Cactus Flats Wind,1,1.0,148.4
240219,1,4188,114.0,41.47,56270,Callahan Divide Wind Energy Center,2005,114,Callahan Divide Wind Energy Center,1,1.0,149.0
200192,1,3296,165.0,80.5,59118,Cameron Wind 1 LLC,2015,165,Cameron,1,1.0,215.0
